h0 [SinglePointCrossover,BitFlipMutation] 167136
h1 [SinglePointCrossover,LoopMoveOperator] 167353
h2 [SinglePointCrossover,LocalMoveOperator] 167286
h3 [SinglePointCrossover,SegmentMutation] 166280
h4 [SinglePointCrossover,OppositeMoveOperator] 166532
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166099
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166656
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 165798
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166877
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166958
h10 [MultiPointsCrossover,BitFlipMutation] 166854
h11 [MultiPointsCrossover,LoopMoveOperator] 166040
h12 [MultiPointsCrossover,LocalMoveOperator] 166187
h13 [MultiPointsCrossover,SegmentMutation] 167168
h14 [MultiPointsCrossover,OppositeMoveOperator] 166776
