h0 [SinglePointCrossover,BitFlipMutation] 166377
h1 [SinglePointCrossover,LoopMoveOperator] 166485
h2 [SinglePointCrossover,LocalMoveOperator] 166101
h3 [SinglePointCrossover,SegmentMutation] 166369
h4 [SinglePointCrossover,OppositeMoveOperator] 166456
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 165951
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167328
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166433
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167621
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166191
h10 [MultiPointsCrossover,BitFlipMutation] 166376
h11 [MultiPointsCrossover,LoopMoveOperator] 167391
h12 [MultiPointsCrossover,LocalMoveOperator] 166851
h13 [MultiPointsCrossover,SegmentMutation] 166859
h14 [MultiPointsCrossover,OppositeMoveOperator] 167211
