h0 [SinglePointCrossover,BitFlipMutation] 83392
h1 [SinglePointCrossover,LoopMoveOperator] 83468
h2 [SinglePointCrossover,LocalMoveOperator] 82975
h3 [SinglePointCrossover,SegmentMutation] 83135
h4 [SinglePointCrossover,OppositeMoveOperator] 82979
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 82818
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83711
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83189
h8 [IntegerTwoPointsCrossover,SegmentMutation] 82865
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83478
h10 [MultiPointsCrossover,BitFlipMutation] 83460
h11 [MultiPointsCrossover,LoopMoveOperator] 83837
h12 [MultiPointsCrossover,LocalMoveOperator] 83883
h13 [MultiPointsCrossover,SegmentMutation] 83221
h14 [MultiPointsCrossover,OppositeMoveOperator] 83089
