h0 [SinglePointCrossover,BitFlipMutation] 83315
h1 [SinglePointCrossover,LoopMoveOperator] 83795
h2 [SinglePointCrossover,LocalMoveOperator] 83082
h3 [SinglePointCrossover,SegmentMutation] 83169
h4 [SinglePointCrossover,OppositeMoveOperator] 83149
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 82841
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83429
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83111
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83430
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83286
h10 [MultiPointsCrossover,BitFlipMutation] 83055
h11 [MultiPointsCrossover,LoopMoveOperator] 83078
h12 [MultiPointsCrossover,LocalMoveOperator] 83210
h13 [MultiPointsCrossover,SegmentMutation] 83810
h14 [MultiPointsCrossover,OppositeMoveOperator] 83740
