h0 [SinglePointCrossover,BitFlipMutation] 8234
h1 [SinglePointCrossover,LoopMoveOperator] 8371
h2 [SinglePointCrossover,LocalMoveOperator] 8410
h3 [SinglePointCrossover,SegmentMutation] 8332
h4 [SinglePointCrossover,OppositeMoveOperator] 8372
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8463
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8325
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8233
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8416
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8331
h10 [MultiPointsCrossover,BitFlipMutation] 8181
h11 [MultiPointsCrossover,LoopMoveOperator] 8343
h12 [MultiPointsCrossover,LocalMoveOperator] 8160
h13 [MultiPointsCrossover,SegmentMutation] 8444
h14 [MultiPointsCrossover,OppositeMoveOperator] 8135
