h0 [SinglePointCrossover,BitFlipMutation] 1671
h1 [SinglePointCrossover,LoopMoveOperator] 1659
h2 [SinglePointCrossover,LocalMoveOperator] 1599
h3 [SinglePointCrossover,SegmentMutation] 1637
h4 [SinglePointCrossover,OppositeMoveOperator] 1678
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1700
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1642
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1673
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1665
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1741
h10 [MultiPointsCrossover,BitFlipMutation] 1605
h11 [MultiPointsCrossover,LoopMoveOperator] 1715
h12 [MultiPointsCrossover,LocalMoveOperator] 1697
h13 [MultiPointsCrossover,SegmentMutation] 1666
h14 [MultiPointsCrossover,OppositeMoveOperator] 1652
