h0 [SinglePointCrossover,BitFlipMutation] 82761
h1 [SinglePointCrossover,LoopMoveOperator] 83278
h2 [SinglePointCrossover,LocalMoveOperator] 82938
h3 [SinglePointCrossover,SegmentMutation] 83396
h4 [SinglePointCrossover,OppositeMoveOperator] 83409
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83180
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83565
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83299
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83560
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83329
h10 [MultiPointsCrossover,BitFlipMutation] 83012
h11 [MultiPointsCrossover,LoopMoveOperator] 83826
h12 [MultiPointsCrossover,LocalMoveOperator] 83732
h13 [MultiPointsCrossover,SegmentMutation] 83456
h14 [MultiPointsCrossover,OppositeMoveOperator] 82759
