h0 [SinglePointCrossover,BitFlipMutation] 166916
h1 [SinglePointCrossover,LoopMoveOperator] 166440
h2 [SinglePointCrossover,LocalMoveOperator] 166569
h3 [SinglePointCrossover,SegmentMutation] 166476
h4 [SinglePointCrossover,OppositeMoveOperator] 166296
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166788
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166675
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166179
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167348
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166892
h10 [MultiPointsCrossover,BitFlipMutation] 166761
h11 [MultiPointsCrossover,LoopMoveOperator] 166487
h12 [MultiPointsCrossover,LocalMoveOperator] 166834
h13 [MultiPointsCrossover,SegmentMutation] 166390
h14 [MultiPointsCrossover,OppositeMoveOperator] 166949
